IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
188.164.248.20,20,20,0.00,9.63,0.00,N/A
104.16.174.203,20,20,0.00,9.64,0.00,N/A
104.18.34.122,20,20,0.00,9.67,0.00,N/A
104.17.62.49,20,20,0.00,9.69,0.00,N/A
104.16.65.1,20,20,0.00,9.72,0.00,N/A
104.19.148.121,20,20,0.00,9.74,0.00,N/A
104.17.69.244,20,20,0.00,9.75,0.00,N/A
104.18.151.172,20,20,0.00,9.76,0.00,N/A
198.41.208.15,20,20,0.00,9.89,0.00,N/A
8.35.211.88,20,20,0.00,9.90,0.00,N/A
104.18.189.153,20,20,0.00,9.91,0.00,N/A
172.64.52.127,20,20,0.00,9.93,0.00,N/A
104.18.255.167,20,20,0.00,9.93,0.00,N/A
104.17.124.139,20,20,0.00,10.11,0.00,N/A
162.159.141.41,20,20,0.00,10.16,0.00,N/A
104.17.17.52,20,20,0.00,10.17,0.00,N/A
104.19.118.112,20,20,0.00,10.18,0.00,N/A
104.18.43.237,20,20,0.00,10.19,0.00,N/A
104.19.212.207,20,20,0.00,10.20,0.00,N/A
104.18.81.19,20,20,0.00,10.20,0.00,N/A
104.16.133.57,20,20,0.00,10.30,0.00,N/A
104.17.162.3,20,20,0.00,10.34,0.00,N/A
172.64.52.27,20,20,0.00,10.35,0.00,N/A
104.16.21.178,20,20,0.00,10.36,0.00,N/A
104.17.48.197,20,20,0.00,10.63,0.00,N/A
